,Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
8480,2020-07-20 18:34:42,1285281996688654337,False,doctor says that #KanyeWest is very ill right now https://t.co/om6n2p7icG,tearoomupdates,mars ,Twitter for iPhone,3,503,21,0
8481,2020-07-20 18:34:40,1285281988920958977,False,"RT @AttorneyCrump: Dear Kanye, a Black history textbook is in the mail. Read it, then learn to respect Harriet Tubman’s legacy. #kanyewest…",TheeCREAMbee,Nunya,Echofon,0,429,1391,3778
8482,2020-07-20 18:34:28,1285281938660634624,False,"RT @AttorneyCrump: Dear Kanye, a Black history textbook is in the mail. Read it, then learn to respect Harriet Tubman’s legacy. #kanyewest…",_Terminator_X,Where God wants me,Twitter for iPhone,0,744,1199,3778
8483,2020-07-20 18:34:12,1285281870842716160,False,"RT @AttorneyCrump: Dear Kanye, a Black history textbook is in the mail. Read it, then learn to respect Harriet Tubman’s legacy. #kanyewest…",folkieserg,,Twitter for iPhone,0,16,291,3778
8484,2020-07-20 18:34:05,1285281842904481793,False,"#KanyeWest #HarrietTubman Please retweet: Richland High School in Richland, Washington needs to change their mascot… https://t.co/zxryOzenR7",DennisYee13,"San Jose, CA",Twitter Web App,0,9,118,0
8485,2020-07-20 18:34:01,1285281828665004032,False,RT @thetrue100media: A girl who attended #KanyeWest’s rally in #CharlestonSC explains their now viral debate where he called her out in fro…,bigdripMorrison,"Yarmouth, ME",Twitter for iPhone,0,25,391,20
8486,2020-07-20 18:34:01,1285281827436068865,False,Kanye West better luck next time #KanyeWest #Kanye2020 #KanyesPoliticalSlogan,kay_prosperous,,Twitter Web App,0,16,80,0
8487,2020-07-20 18:33:56,1285281803960492038,False,I can’t wait for Chris Wallace to ask Kanye if he likes fish dicks. Nothing is beyond the realms of possibility anymore. #KanyeWest,ujwaliofficial,Nottingham/London,Twitter for iPhone,6,2384,1427,0
8488,2020-07-20 18:33:55,1285281801766920197,False,"@piersmorgan Why is he making that face ?! 
#KanyeWest",MahwishKD,,Twitter for iPhone,0,1026,85,0
8489,2020-07-20 18:33:39,1285281733122891778,False,"RT @AttorneyCrump: Dear Kanye, a Black history textbook is in the mail. Read it, then learn to respect Harriet Tubman’s legacy. #kanyewest…",gohardsporting,"Georgia, USA",Twitter for Android,0,4,223,3778
8490,2020-07-20 18:33:21,1285281659823230979,False,RT @ETCanada: #KanyeWest wants #JayZ to be his vice-president https://t.co/ucRb739IPB,JoaoPepeMiranda,"Mogi das Cruzes, Brasil",Twitter for Android,0,1079,718,4
8491,2020-07-20 18:33:16,1285281636678946818,False,Fuck Kanye West and fuck everything he stand for and fuck his clothing and sneakers brand. #KanyeWest fucking Ra-Co… https://t.co/7lJLqpFs6t,PequodWolves,,Twitter for iPhone,1,17,235,0
8492,2020-07-20 18:33:04,1285281586838155264,False,"RT @AttorneyCrump: Dear Kanye, a Black history textbook is in the mail. Read it, then learn to respect Harriet Tubman’s legacy. #kanyewest…",Shush_Flora,,Twitter for iPhone,0,63,578,3778
8493,2020-07-20 18:33:02,1285281578848002048,False,RT @treymarley22: BREAKING NEWS!!!!!  Kim Kardashian turned into Spider-Man. After being asked about  #KanyeWest 💀 https://t.co/g5Snq7xIbq,bigdripMorrison,"Yarmouth, ME",Twitter for iPhone,0,25,391,88
8494,2020-07-20 18:32:41,1285281489211416576,False,"The Crybaby Crazy ticket 2021
CAN I COUNT ON Y'ALL SUPPORT ???!!?!?!
#insta #instalike #pic #picoftheday #photo… https://t.co/2KFavfMtTU",Dikk_Dasterdlyy," Camden , Nj",Instagram,0,324,356,0
8495,2020-07-20 18:32:31,1285281449621491714,False,IM ALMOST THERE #ExtremeRules          #KanyeWest #ExtremeRules2020 #entanglement #90dayfiance #TheChi         … https://t.co/otJAbuQqIL,stylestbsl,she/her ,Twitter for iPhone,0,1440,563,0
8496,2020-07-20 18:32:31,1285281449583751169,False,I don’t feel sorry for #KanyeWest. I feel sorry for his kids. Their Dads telling the world about nearly aborting on… https://t.co/2WDq7nkiUX,copywritekay,,Twitter for iPhone,5,3179,984,3
